Company,Address,Mailing City,State,Zip Code,Last Name,First Name,Phone Number Combined,Primary SIC Code Description,Location Sales Volume Range,SIC Code 1 ,SIC Code Description 1,Lead Status
A-Max Insurance,6620 Fm 78 # 104,San Antonio,TX,78244,,,(210) 655-4000,Insurance,"Less Than $500,000",6411-12,Insurance,
A1 United Insurance,1764 S Ww White Rd,San Antonio,TX,78220,,,(210) 618-0035,Insurance,"$500,000-1 Million",6411-07,Insurance-Homeowners,
AAA Insurance,13415 San Pedro Ave,San Antonio,TX,78216,Ganino,Vic,(210) 499-0222,Insurance,$10-20 Million,6411-12,Insurance,
AAA Texas Insurance,13376 N Highway 183,Austin,TX,78750,,,(512) 336-6119,Insurance,$1-2.5 Million,6411-12,Insurance,
Aaron & Kahn,14907 Polynesian,San Antonio,TX,78248,Kahn,Gary,(210) 545-3922,Insurance,"Less Than $500,000",6411-12,Insurance,
ABC Colyer Inc,1046 E Highland Blvd,San Antonio,TX,78210,Colyer,Carl,(210) 735-1499,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Abendschein, Gus Agt",13041 Nacogdoches Rd,San Antonio,TX,78217,Abendschein,Gus,(210) 656-3434,Insurance,"Less Than $500,000",6411-12,Insurance,
Abrey Insurance,423 W Mitchell St,San Antonio,TX,78204,,,(210) 532-3456,Insurance,"$500,000-1 Million",6411-12,Insurance,
Absolute Insurance,4407 S Panam Expy # 2,San Antonio,TX,78225,Trevino,Francisco,(210) 932-3551,Insurance,"Less Than $500,000",6411-12,Insurance,
Abundis Insurance,136 W Old US Highway 90,San Antonio,TX,78237,,,(210) 434-6324,Insurance,"Less Than $500,000",6411-12,Insurance,
ACCC General Agency Inc,1779 NE Loop 410 # 200,San Antonio,TX,78217,DE Lossantos,David,(210) 821-7114,Insurance,$1-2.5 Million,6411-12,Insurance,
Accent Sotelo Insurance Group,12593 Research Blvd # 202,Austin,TX,78759,Sotelo,Sam,(512) 302-9445,Insurance,$1-2.5 Million,6411-12,Insurance,
Acceptance Auto Insurance,12034 Research Blvd # 6,Austin,TX,78759,Flores,Rachel,(512) 918-1555,Insurance,"Less Than $500,000",6411-12,Insurance,
Access Insurance,6762 Ingram Rd,San Antonio,TX,78238,Carman,Celia,(210) 521-0352,Insurance,"Less Than $500,000",6411-12,Insurance,
Access Insurance Svc,15600 San Pedro Ave # 401,San Antonio,TX,78232,Banowsky,Tim,(210) 499-5433,Insurance,$1-2.5 Million,6411-12,Insurance,
Achilles & Assoc,7756 Northcross Dr # 204,Austin,TX,78757,Achilles,Jim,(512) 451-2093,Insurance,"$500,000-1 Million",6411-12,Insurance,
Achilles & Assoc,7756 Northcross Dr # 204,Austin,TX,78757,Achilles,David,(512) 459-5488,Insurance,"Less Than $500,000",6411-12,Insurance,
"Achilles, Janice Agt",7756 Northcross Dr # 204,Austin,TX,78757,Achilles,Janice,(512) 459-5488,Insurance,"Less Than $500,000",6411-12,Insurance,
"Achilles, Jerry Agt",7756 Northcross Dr # 204,Austin,TX,78757,Achilles,Jerry,(512) 451-2093,Insurance,"Less Than $500,000",6411-12,Insurance,
"Acola, Billy Agt",9830 Colonnade Blvd # 400,San Antonio,TX,78230,Acola,Billy,(210) 735-2048,Insurance,"Less Than $500,000",6411-12,Insurance,
Acosta Realty & Insurance,9514 Console Dr # 100,San Antonio,TX,78229,,,(210) 485-4544,Insurance,"$500,000-1 Million",6411-12,Insurance,
Action Star Insurance,4910 Rigsby Ave,San Antonio,TX,78222,Tillery,Lynda,(210) 648-5959,Insurance,"Less Than $500,000",6411-12,Insurance,
"Acuna, Patricia Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Acuna,Patricia,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Acuna, Richard Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Acuna,Richard,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Adams, Audry Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Adams,Audry,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Adams, Miki Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Adams,Miki,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Adams, Patricia Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Adams,Patricia,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Adderley, Naedine Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Adderley,Naedine,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Adobe-Santos Insurance,PO Box 5486,San Antonio,TX,78201,DE Los Santos,Maria,(210) 735-5008,Insurance,"Less Than $500,000",6411-12,Insurance,
Adrian Anthony Reyes Agcy-Na,11219 Potranco Rd # 105,San Antonio,TX,78253,Reyes,Adrian,(210) 767-8213,Insurance,"$500,000-1 Million",6411-12,Insurance,
Adrian De Los Reyes Agency,15900 LA Cantera Pkwy # 26205,San Antonio,TX,78256,DE Los Reyes,Adrian,(210) 821-6916,Insurance Agents Brokers & Service,"Less Than $500,000",6411-98,Insurance Agents Brokers & Service,
Advanced Insurance,4035 Naco Perrin Blvd # 102,San Antonio,TX,78217,Sharma,Kris,(210) 655-4881,Insurance,"Less Than $500,000",6411-12,Insurance,
Advantage Insurance Specialist,2136 Bandera Rd,San Antonio,TX,78228,Hernandez,Elizabeth,(210) 680-2112,Insurance,"Less Than $500,000",6411-12,Insurance,
Advantage Insurance Specialist,7007 Bandera Rd,San Antonio,TX,78238,,,(210) 680-2123,Insurance,"$500,000-1 Million",6411-12,Insurance,
Advantage Protection Group Inc,903 E Bitters Rd # 307,San Antonio,TX,78216,Drott,David,(210) 404-1806,Insurance,"$500,000-1 Million",6411-12,Insurance,
Affiance Insurance Agency,5555 N Lamar Blvd # L101,Austin,TX,78751,Cronshui,Laura,(512) 284-9051,Insurance,"$500,000-1 Million",6411-12,Insurance,
Affiliated Insurance,710 Bynum Ave,San Antonio,TX,78211,,,(210) 922-4444,Insurance,"Less Than $500,000",6411-12,Insurance,
Affiliated Spartan Insurance,2000 SE Loop 410 # 108,San Antonio,TX,78220,Galvan,Maricela,(210) 648-0217,Insurance,"Less Than $500,000",6411-12,Insurance,
Affiliated Spartan Insurance,7105 Blanco Rd,San Antonio,TX,78216,Galban,Mari,(210) 340-1225,Insurance,"Less Than $500,000",6411-12,Insurance,
Affiliated Spartan Insurance,8725 Marbach Rd # 220,San Antonio,TX,78227,Navarro,Elida,(210) 673-4409,Insurance,"Less Than $500,000",6411-12,Insurance,
Affirmative Insurance,5714 NW Loop 410 # 600,San Antonio,TX,78238,Diaz,Jose,(210) 680-2598,Insurance,"Less Than $500,000",6411-12,Insurance,
Affordable Home Ins Plans,1616 Guadalupe St,Austin,TX,78701,,,(512) 717-3981,Insurance,"$500,000-1 Million",6411-12,Insurance,
Affordable Home Ins Plans,1400 Gardina,San Antonio,TX,78201,,,(210) 714-4716,Insurance,"$500,000-1 Million",6411-12,Insurance,
Affordable Insurance,1400 N Cuernavaca Dr,Austin,TX,78733,,,(512) 263-1044,Insurance,"Less Than $500,000",6411-12,Insurance,
Affordable Insurance,2314 E 7th St # B,Austin,TX,78702,Sadruddin,Fasia,(512) 482-0444,Insurance,"$500,000-1 Million",6411-12,Insurance,
Affordable Insurance,611 W Stassney Ln,Austin,TX,78745,Ortiz,Jasmin,(512) 440-7444,Insurance,"$500,000-1 Million",6411-12,Insurance,
Affordable Insurance,6623 N Lamar Blvd,Austin,TX,78752,Sadruddin,Safina,(512) 454-0444,Insurance,"Less Than $500,000",6411-07,Insurance-Homeowners,
Affordable Insurance,9415 N Interstate 35,Austin,TX,78753,Jaramillo,Margarita,(512) 834-1444,Insurance,"$500,000-1 Million",6411-12,Insurance,
Aflac,10101 W Parmer Ln,Austin,TX,78717,,,(512) 248-2209,Insurance,"$500,000-1 Million",6411-12,Insurance,
Aflac,9415 Burnet Rd,Austin,TX,78758,,,(512) 248-0643,Insurance,"$500,000-1 Million",6411-12,Insurance,
Aflac,11230 West Ave # 3103,San Antonio,TX,78213,Bodker,David,(210) 375-2524,Insurance,"$500,000-1 Million",6411-12,Insurance,
Aflac,11503 Maltsberger Rd # 184,San Antonio,TX,78216,Ford,Brent,(210) 342-0297,Insurance,"Less Than $500,000",6411-12,Insurance,
Aflac,18315 Bracken Dr,San Antonio,TX,78266,Canalichio,Philip,(210) 946-7402,Insurance,"Less Than $500,000",6411-12,Insurance,
Agape Insurance,4309 S 1st St,Austin,TX,78745,Ames,Rayanna,(512) 326-2121,Insurance,"Less Than $500,000",6411-12,Insurance,
Agencla De Seguros De Accesso,6762 Ingram Rd,San Antonio,TX,78238,,,(210) 521-0352,Insurance,"$500,000-1 Million",6411-12,Insurance,
"Aguero, Sheila Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Aguero,Sheila,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Aguilar, Jorge Agt",9800 Fredericksburg Rd,San Antonio,TX,78240,Aguilar,Jorge,(210) 684-4176,Insurance,"Less Than $500,000",6411-12,Insurance,
Ai United,611 E Stassney Ln,Austin,TX,78745,Saduvring,Josefina,(512) 440-7444,Insurance,"Less Than $500,000",6411-07,Insurance-Homeowners,
Ai United Insurance,9415 N Interstate 35,Austin,TX,78753,Jaramillo,Margarita,(512) 813-0441,Insurance,"$500,000-1 Million",6411-12,Insurance,
Aiag,3621 W Slaughter Ln # 1132,Austin,TX,78749,Johnson,Anthony,(512) 981-5826,Attorneys,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
AIS Insurance,24133 Boerne Stage Rd,San Antonio,TX,78255,Allen,Daniel,(210) 240-9106,Insurance,"Less Than $500,000",6411-12,Insurance,
Alamo Insurance Group,3201 Cherry Ridge St # D405,San Antonio,TX,78230,Campbell,Janelle,(210) 524-7133,Insurance,"Less Than $500,000",6411-12,Insurance,
Alamo Insurance Group,3201 Cherry Ridge St # D405,San Antonio,TX,78230,Mcmahan,John,(210) 930-6665,Insurance,"Less Than $500,000",6411-12,Insurance,
Alamo Insurance Group Inc,3201 Cherry Ridge St # D405,San Antonio,TX,78230,Kenny,Linda,(210) 930-6665,Insurance,,6411-12,Insurance,
"Alaniz, Andrea",9800 Fredericksburg Rd,San Antonio,TX,78288,Alaniz,Andrea,(210) 282-1888,Insurance-Property & Casualty,$2.5-5 Million,6331-01,Insurance-Property & Casualty,
"Albright, Robert Agt",8000 W Interstate 10 # 800,San Antonio,TX,78230,Albright,Robert,(210) 321-1418,Insurance,"Less Than $500,000",6411-12,Insurance,
"Alcala, Wanda Agt",9830 Colonnade Blvd # 400,San Antonio,TX,78230,Alcala,Wanda,(210) 691-4180,Insurance,"Less Than $500,000",6411-12,Insurance,
"Alcorn, Ashley Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Alcorn,Ashley,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Aldana, Tara Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Aldana,Tara,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
"Aldana, Vanessa Agt",9800 Fredericksburg Rd,San Antonio,TX,78288,Aldana,Vanessa,(210) 282-1888,Insurance,"Less Than $500,000",6411-12,Insurance,
Alex Garza & Assoc Insurance,4414 Centerview # 220,San Antonio,TX,78228,Garcia,Alex,(210) 738-3542,Insurance,$1-2.5 Million,6411-12,Insurance,
Alexander Randol,909 NE Loop 410 # 902,San Antonio,TX,78209,Randol,Alexander,(210) 805-0780,Insurance,"Less Than $500,000",6411-12,Insurance,
Alexander Randol,909 NE Loop 410 # 902,San Antonio,TX,78209,,,(210) 805-9164,Insurance,"Less Than $500,000",6411-12,Insurance,
Alexander Randol,909 NE Loop 410 # 902,San Antonio,TX,78209,Alexander,Larry,(210) 366-1455,Insurance,"Less Than $500,000",6411-12,Insurance,
All Texas Insurance,6700 Middle Fiskville Rd # 303,Austin,TX,78752,Williams,Nina,(512) 459-7979,Insurance,"Less Than $500,000",6411-12,Insurance,
All Texas Insurance,6700 Middle Fiskville Rd # 303,Austin,TX,78752,Wickwire,Jeanette,(512) 459-7979,Insurance,"Less Than $500,000",6411-12,Insurance,
Allen Daniel Insurance,24123 Boerne Stage Rd,San Antonio,TX,78255,Allen,Daniel,(210) 698-0707,Insurance,"Less Than $500,000",6411-12,Insurance,
Alliance Of TX Ins Agency,PO Box 5429,San Antonio,TX,78201,Sotelo,Norma,(210) 733-3335,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allied Specialty Insurance,85 NE Loop 410 # 600,San Antonio,TX,78216,Calhoun,Sherrie,(210) 341-1321,Insurance,"Less Than $500,000",6411-12,Insurance,
Allied Specialty Of Texas,85 NE Loop 410 # 600,San Antonio,TX,78216,Berger,Eugene,(210) 341-1531,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,10000 Research Blvd # 252,Austin,TX,78759,,,(512) 451-6571,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,11689 Research Blvd # 102,Austin,TX,78759,Perkins,Beth,(512) 343-6994,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,5316 Manchaca Rd,Austin,TX,78745,,,(512) 804-5577,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,5509 Balcones Dr,Austin,TX,78731,Stromme,Diana,(512) 459-5363,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,9020 N Capital Of Texas Hwy,Austin,TX,78759,Liddy,Ed,(512) 241-3000,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,12238 Silicon Dr # 150,San Antonio,TX,78249,Earp,Brittani,(210) 697-6685,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,12238 Silicon Dr # 150,San Antonio,TX,78249,Alvarez,Yesenia,(210) 697-6623,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,12238 Silicon Dr # 150,San Antonio,TX,78249,Anderson,Jeffrey,(210) 697-6685,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,12330 West Ave # 102,San Antonio,TX,78216,,,(210) 340-1500,Insurance,"$500,000-1 Million",6411-07,Insurance-Homeowners,
Allstate,13032 Nacogdoches Rd # 106,San Antonio,TX,78217,Czarnek,Robin,(210) 646-8682,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,16111 San Pedro Ave # 120,San Antonio,TX,78232,,,(210) 403-2332,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,1919 Oakwell Farms Pkwy # 265,San Antonio,TX,78218,,,(210) 821-6900,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,217 SW Military Dr,San Antonio,TX,78221,,,(210) 341-3258,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,2339 E Evans Rd # 102,San Antonio,TX,78259,,,(210) 481-1999,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,4421 DE Zavala Rd,San Antonio,TX,78249,Kay,Dan,(210) 493-4033,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,4425 E Houston St,San Antonio,TX,78220,Padilla,Sandra,(210) 333-7501,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,5975 Farm Rd 78,San Antonio,TX,78244,Massey,David,(210) 662-6012,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,6603 W Loop 1604 N # 103,San Antonio,TX,78254,,,(210) 695-5075,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,8607 Wurzbach Rd # V101,San Antonio,TX,78240,Bapodra,Tarla,(210) 696-1133,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,903 E Bitters Rd # 307,San Antonio,TX,78216,Elam,Norris,(210) 655-2593,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,9386 Huebner Rd # 103,San Antonio,TX,78240,Sierra,Rosie,(210) 614-2222,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate,9910 W Loop 1604 N # 102,San Antonio,TX,78254,,,(210) 688-6888,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate,PO Box 65174,San Antonio,TX,78265,,,(210) 655-2311,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate Insurance,11825 W Interstate 10 # 230,San Antonio,TX,78230,Gutierrez,Javier,(210) 696-3938,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate Insurance Agency,11824 Jollyville Rd # 303,Austin,TX,78759,Box,Michael W,(512) 302-9230,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate Insurance Agency,13915 N MO Pac Expy # 102,Austin,TX,78728,Lewis,Christopher,(512) 494-4888,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate Insurance Agency,2110a Boca Raton Dr # 102,Austin,TX,78747,Spruce,Dayl A,(512) 282-7265,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate Insurance Agency,2211 W Parmer Ln # B,Austin,TX,78727,Liu,Chau P,(512) 873-0118,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate Insurance Agency,5307 S Congress Ave,Austin,TX,78745,Morse,Roger E,(512) 448-4044,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate Insurance Agency,609 Castle Ridge Rd # 400,Austin,TX,78746,Murphy,Evelyn,(512) 327-8424,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate Insurance Agency,9800 N Lamar Blvd # 180,Austin,TX,78753,Robinson,Nelson,(512) 835-5600,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate Insurance Agency,431 Mccarty Rd # 437-B,San Antonio,TX,78216,Sawyer,William,(210) 525-0933,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate Insurance Co,4425 S MO Pac Expy # 403,Austin,TX,78735,Griego,Jon,(512) 891-0255,Insurance,"$500,000-1 Million",6411-12,Insurance,
Allstate Insurance-Ashton Dvs,6200 S Interstate 35,Austin,TX,78745,Davies,Ashton,(512) 546-7100,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Blake Smpsn,13010 N Highway 183 # 218,Austin,TX,78750,Simpson,Blake,(512) 219-7411,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Brett Clytn,10713 N Fm 620 # 206,Austin,TX,78726,Clayton,Brett,(512) 243-6621,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Carlos Cllr,9179 Grissom Rd # 133,San Antonio,TX,78251,Cuellar,Carlos,(210) 684-5767,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Charles Sxn,12400 Amherst Dr # 114,Austin,TX,78727,Saxon,Charles,(512) 339-8494,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Chris Lewis,13915 N Mopac Expy # 102,Austin,TX,78728,Lewis,Chris,(512) 494-4888,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Cindy,16845 Blanco Rd # 102b,San Antonio,TX,78232,Deschamps,Cindy,(210) 492-5744,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Daniel Sldn,12330 West Ave # 102,San Antonio,TX,78216,Saldana,Daniel,(210) 340-1500,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-David Drott,903 E Bitters Rd # 307,San Antonio,TX,78216,Drott,David,(210) 404-1806,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-David Mssy,5975 Fm 78 # 200,San Antonio,TX,78244,Thornton,Peter,(210) 662-6012,Insurance,$1-2.5 Million,6331-01,Insurance-Property & Casualty,
Allstate Insurance-David R,1818 S New Braunfels Ave # 11,San Antonio,TX,78210,King Jr,David R,(210) 532-9733,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Dustin Tays,2339 E Evans Rd # 102,San Antonio,TX,78259,Tays,Dustin,(210) 481-1999,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Ed Mena,5509 Balcones Dr,Austin,TX,78731,Hutchinson,Cindy,(512) 459-5363,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Elissa,3207 Weir Ave # 104,San Antonio,TX,78226,Gonzalez,Elissa,(210) 433-0760,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Elsa Hrnndz,6461 Blanco Rd,San Antonio,TX,78216,Hernandez,Elsa,(210) 377-3225,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Emilio Alva,9323 Perrin Beitel Rd # 105,San Antonio,TX,78217,Alva,Emilio,(210) 637-7555,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Eric Wagner,6415 Babcock Rd # 109,San Antonio,TX,78249,Mc Alister,Ryan,(210) 699-7100,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Evelyn,7035 Bee Cave Rd # 103,Austin,TX,78746,Jordan,Nicholas,(512) 327-8424,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Fernando,10722 Potranco Rd # 106,San Antonio,TX,78251,Fernandez,Fernando,(210) 922-3500,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Frederick,26108 Overlook Pkwy # 1108,San Antonio,TX,78260,Lochte,Frederick,(210) 201-2097,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Greg Drott,2553 Jackson Keller Rd,San Antonio,TX,78230,Drott,Greg,(210) 341-3258,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Gregory,217 SW Military Dr,San Antonio,TX,78221,Drott,Gregory,(210) 927-4748,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Guerrero II,3305 W Slaughter Ln,Austin,TX,78748,Gerrero Ii,Paul,(512) 441-8597,Insurance,"Less Than $500,000",6411-12,Insurance,
Allstate Insurance-Gustavo,5720 Bandera Rd # 4a,San Antonio,TX,78238,Aguirre,Gustavo,(210) 432-8383,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Harley,9415 Burnet Rd # 102,Austin,TX,78758,Alloway,Harley,(512) 834-1234,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Hillary,3511 Hyridge Dr,Austin,TX,78759,Hardy,Harrison,(512) 345-5757,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Hillary,6911 Ranch Road 620 N # A-100,Austin,TX,78732,Gardiner,Hillary,(512) 345-5757,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Jacob,15454 Tradesman,San Antonio,TX,78249,,,(210) 679-4795,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Jacob Munoz,15614 Huebner Rd # 101,San Antonio,TX,78248,Munoz,Jacob,(210) 479-1118,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-James,5506 W Highway 290 # 300,Austin,TX,78735,Fitzgerald,James,(512) 416-6087,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Jesse,9638 Potranco Rd # 105,San Antonio,TX,78251,Fernandez Jr,Jesse,(210) 647-8585,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Jim Phllps,11100 N Interstate 35,Austin,TX,78753,Phillips,Jim,(512) 452-5827,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Jimmy Smith,2901 Ranch Road 620 N # 103,Austin,TX,78734,Smith,Jimmy,(512) 266-2463,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Joel Hrtd,12924 Park Xing,San Antonio,TX,78217,Daly,Aaron,(210) 496-6412,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
Allstate Insurance-John Murphy,13740 N Highway 183 # A1,Austin,TX,78750,Murphy,John,(512) 836-1231,Insurance,"$500,000-1 Million",6331-01,Insurance-Property & Casualty,
Allstate Insurance-Johnston,9910 W Loop 1604 N # 102,San Antonio,TX,78254,Kleck,Johnston,(210) 688-6888,Insurance,"Less Than $500,000",6331-01,Insurance-Property & Casualty,
